"num_obs","_col1"
"8040","71"
"359","5332"
"6967","80"
"387","4824"
"9909","48"
"13056","39"
"2454","404"
"52956","2"
"7622","68"
"31913","5"
"1350","857"
"141","16808"
"5909","114"
"4156","180"
"753","1959"
"3738","178"
"1471","783"
"1658","667"
"1277","1026"
"8303","59"
"4268","172"
"18757","14"
"3529","218"
"419","4431"
"27253","5"
"1344","917"
"820","1849"
"5937","113"
"13737","29"
"2598","369"
"1857","593"
"26708","8"
"1654","649"
"863","1642"
"6732","88"
"7312","66"
"1098","1309"
"6422","98"
"2497","388"
"5575","118"
"2445","385"
"1257","1037"
"2025","542"
"1889","556"
"1208","1109"
"2139","496"
"5706","121"
"24455","12"
"4596","151"
"7538","81"
"6219","90"
"5527","116"
"17815","26"
"11028","48"
"2878","302"
"12711","43"
"16636","21"
"12071","39"
"5889","98"
"160247","1"
"14293","22"
"11224","40"
"7010","91"
"3934","203"
"8883","52"
"9920","34"
"3074","286"
"4208","172"
"5579","134"
"8691","65"
"19207","22"
"67256","3"
"2602","365"
"17390","13"
"128893","1"
"8103","81"
"27171","11"
"18065","17"
"3611","228"
"6717","77"
"4454","177"
"35562","10"
"237984","1"
"190579","1"
"5141","108"
"4072","167"
"3969","209"
"7842","77"
"10405","42"
"9172","41"
"7689","84"
"5734","122"
"10366","48"
"5228","125"
"28673","10"
"6874","81"
"16537","19"
"50936","4"
"74050","3"
"101233","5"
"11422","40"
"4689","143"
"18925","19"
"20673","15"
"66207","3"
"17274","26"
"6413","69"
"18845","20"
"26820","7"
"24061","8"
"5340","131"
"11228","32"
"8204","54"
"4911","126"
"7495","74"
"29040","18"
"12282","27"
"9972","53"
"14890","23"
"19994","15"
"12123","46"
"8633","45"
"10935","45"
"18940","16"
"73119","1"
"29023","15"
"12364","40"
"76606","3"
"27488","10"
"12957","24"
"21453","8"
"118931","2"
"8036","74"
"13308","32"
"72328","3"
"26919","7"
"41185","6"
"13836","34"
"15224","20"
"53266","2"
"87956","2"
"24673","16"
"16392","22"
"51878","4"
"16166","26"
"5941","104"
"5790","122"
"25723","10"
"28975","12"
"7506","74"
"8155","61"
"113273","1"
"15987","21"
"7702","77"
"16302","36"
"14838","23"
"11407","37"
"17772","22"
"8245","60"
"14349","33"
"19140","13"
"44571","2"
"18468","14"
"4695","151"
"6402","83"
"30053","8"
"21007","11"
"7355","89"
"6769","86"
"33417","7"
"10071","50"
"4807","154"
"16778","16"
"58303","3"
"29234","3"
"19255","22"
"18856","15"
"10215","49"
"46408","3"
"41991","4"
"255108","1"
"40922","4"
"35379","12"
"18134","17"
"9670","43"
"23615","18"
"28872","8"
"37101","5"
"14280","28"
"25186","10"
"52268","1"
"12668","32"
"34907","8"
"6172","81"
"16317","21"
"30165","8"
"10254","52"
"28249","9"
"28279","7"
"6553","86"
"43384","5"
"10286","31"
"12810","30"
"12575","39"
"64334","3"
"40541","7"
"22647","12"
"4894","132"
"17589","18"
"12183","36"
"43817","3"
"13905","28"
"11239","39"
"22093","10"
"229112","1"
"54471","2"
"20285","15"
"69371","4"
"77867","2"
"463735","1"
"10155","50"
"15319","27"
"52904","5"
"20177","15"
"11041","43"
